scenario_point,algorithm_name,metric,mean,std,p95,ci95,n
"TOTAL_TAGS=100,prefix_length=16",EMDT,avg_total_bits,155.894400,4.250367,158.800000,1.178142,50
"TOTAL_TAGS=100,prefix_length=16",EMDT,avg_query_efficiency,2.161241,0.430450,2.867647,0.119315,50
"TOTAL_TAGS=100,prefix_length=16",EMDT,peak_stack_depth,20.820000,1.955526,23.550000,0.542044,50
"TOTAL_TAGS=100,prefix_length=16",EMDT,avg_tag_responses,3.639000,0.210861,3.993500,0.058448,50
"TOTAL_TAGS=100,prefix_length=16",HT_EEAC,total_protocol_time_ms,274.260600,28.616398,319.481625,7.932061,50
"TOTAL_TAGS=100,prefix_length=16",HT_EEAC,throughput_tags_per_sec,368.297625,36.330455,420.890665,10.070288,50
"TOTAL_TAGS=100,prefix_length=16",HT_EEAC,system_efficiency,0.172206,0.023221,0.208573,0.006436,50
"TOTAL_TAGS=100,prefix_length=16",HT_EEAC,collision_slots,21.180000,9.499065,39.000000,2.633007,50
"TOTAL_TAGS=100,prefix_length=16",HT_EEAC,idle_slots,470.580000,86.580407,589.950000,23.998865,50
"TOTAL_TAGS=100,prefix_length=16",HT_EEAC,total_energy_uj,1229.108845,73.035010,1369.562562,20.244272,50
"TOTAL_TAGS=100,prefix_length=16",HT_EEAC,total_listening_energy_uj,1197.301965,71.004317,1334.468962,19.681392,50
"TOTAL_TAGS=100,prefix_length=16",HT_EEAC,total_transmission_energy_uj,31.806880,3.736127,37.656000,1.035601,50
"TOTAL_TAGS=100,prefix_length=16",HT_EEAC,total_bits,24557.600000,1861.958767,27496.100000,516.108639,50
"TOTAL_TAGS=100,prefix_length=16",HT_EEAC,avg_tag_bits,115.388800,1.519850,118.240000,0.421281,50
"TOTAL_TAGS=100,prefix_length=16",HT_EEAC,avg_reader_bits,130.187200,18.716371,158.906000,5.187913,50
"TOTAL_TAGS=100,prefix_length=16",HT_EEAC,avg_total_bits,245.576000,18.619588,274.961000,5.161086,50
"TOTAL_TAGS=100,prefix_length=16",HT_EEAC,avg_query_efficiency,5.602525,2.202725,9.590909,0.610564,50
"TOTAL_TAGS=100,prefix_length=16",HT_EEAC,avg_tag_responses,11.680200,3.430662,16.669000,0.950931,50
"TOTAL_TAGS=100,prefix_length=16",LAPCT,total_protocol_time_ms,261.396450,0.757510,261.871562,0.209971,50
"TOTAL_TAGS=100,prefix_length=16",LAPCT,throughput_tags_per_sec,382.563829,1.113619,384.447192,0.308679,50
"TOTAL_TAGS=100,prefix_length=16",LAPCT,system_efficiency,0.479068,0.001301,0.480769,0.000361,50
"TOTAL_TAGS=100,prefix_length=16",LAPCT,collision_slots,108.720000,0.536048,109.000000,0.148585,50
"TOTAL_TAGS=100,prefix_length=16",LAPCT,idle_slots,0.020000,0.141421,0.000000,0.039200,50
"TOTAL_TAGS=100,prefix_length=16",LAPCT,total_energy_uj,1392.744065,7.259772,1399.470538,2.012306,50
"TOTAL_TAGS=100,prefix_length=16",LAPCT,total_listening_energy_uj,1342.428605,7.232890,1348.861263,2.004855,50
"TOTAL_TAGS=100,prefix_length=16",LAPCT,total_transmission_energy_uj,50.315460,0.256026,50.815525,0.070967,50
"TOTAL_TAGS=100,prefix_length=16",LAPCT,total_bits,53581.080000,517.770331,54531.950000,143.518614,50
"TOTAL_TAGS=100,prefix_length=16",LAPCT,avg_tag_bits,378.978000,5.328612,387.917000,1.477016,50
