scenario_point,algorithm_name,metric,mean,ci95,p95,n,mean_ci95
scenario_label=prefix72,LAPCT,throughput_tags_per_sec,329.357734,0.003833,329.386480,50,329.3577 +/- 0.0038
scenario_label=prefix72,NLHQT(n=2),throughput_tags_per_sec,936.143474,0.800378,941.402465,50,936.1435 +/- 0.8004
scenario_label=prefix72,SGCT,throughput_tags_per_sec,1243.559878,3.418692,1264.900059,50,1243.5599 +/- 3.4187
scenario_label=prefix72,DQTA(k_max=3),total_bits,2671578.580000,1600.621870,2679793.450000,50,2671578.5800 +/- 1600.6219
scenario_label=prefix72,DRCT,total_bits,5228851.540000,3303.444236,5246197.100000,50,5228851.5400 +/- 3303.4442
scenario_label=prefix72,EAQ_CBB,total_bits,2461393.580000,2101.385878,2473792.100000,50,2461393.5800 +/- 2101.3859
scenario_label=prefix72,EMDT,total_bits,1721847.640000,2160.607355,1734716.900000,50,1721847.6400 +/- 2160.6074
scenario_label=prefix72,HT_EEAC,total_bits,6994107.360000,32716.114177,7160647.400000,50,6994107.3600 +/- 32716.1142
scenario_label=prefix72,LAPCT,total_bits,3998928.760000,390.646409,4000522.100000,50,3998928.7600 +/- 390.6464
scenario_label=prefix72,NLHQT(n=2),total_bits,1306725.280000,663.730935,1309874.800000,50,1306725.2800 +/- 663.7309
scenario_label=prefix72,SGCT,total_bits,1031380.060000,1708.875784,1040702.800000,50,1031380.0600 +/- 1708.8758
scenario_label=prefix72,DQTA(k_max=3),total_energy_uj,8039172.657290,12492.770216,8104005.065944,50,8039172.6573 +/- 12492.7702
scenario_label=prefix72,DRCT,total_energy_uj,12063452.737545,23581.099894,12186320.985300,50,12063452.7375 +/- 23581.0999
scenario_label=prefix72,EAQ_CBB,total_energy_uj,13985084.131115,15327.578580,14075641.370506,50,13985084.1311 +/- 15327.5786
scenario_label=prefix72,EMDT,total_energy_uj,6838831.905250,21308.515216,6966033.534050,50,6838831.9052 +/- 21308.5152
scenario_label=prefix72,HT_EEAC,total_energy_uj,46488640.090844,279247.334598,47846425.964285,50,46488640.0908 +/- 279247.3346
scenario_label=prefix72,LAPCT,total_energy_uj,15194340.215153,213.111244,15195320.944294,50,15194340.2152 +/- 213.1112
scenario_label=prefix72,NLHQT(n=2),total_energy_uj,5345669.289845,5060.147413,5371057.477850,50,5345669.2898 +/- 5060.1474
scenario_label=prefix72,SGCT,total_energy_uj,4047465.206077,12620.553890,4101144.958837,50,4047465.2061 +/- 12620.5539
scenario_label=prefix72,DQTA(k_max=3),total_protocol_time_ms,16038.342525,20.173661,16142.896500,50,16038.3425 +/- 20.1737
scenario_label=prefix72,DRCT,total_protocol_time_ms,24029.592050,43.008685,24254.720375,50,24029.5920 +/- 43.0087
scenario_label=prefix72,EAQ_CBB,total_protocol_time_ms,27955.137850,25.471483,28110.537875,50,27955.1378 +/- 25.4715
scenario_label=prefix72,EMDT,total_protocol_time_ms,13678.685050,35.397503,13874.989750,50,13678.6851 +/- 35.3975
scenario_label=prefix72,HT_EEAC,total_protocol_time_ms,79077.557400,393.624279,81084.500250,50,79077.5574 +/- 393.6243
scenario_label=prefix72,LAPCT,total_protocol_time_ms,30362.122975,0.353354,30363.781250,50,30362.1230 +/- 0.3534
scenario_label=prefix72,NLHQT(n=2),total_protocol_time_ms,10682.222750,9.120976,10724.755125,50,10682.2228 +/- 9.1210
scenario_label=prefix72,SGCT,total_protocol_time_ms,8042.206925,22.152472,8164.161938,50,8042.2069 +/- 22.1525
scenario_label=prefix80,DQTA(k_max=3),avg_total_bits,184.037722,0.145529,184.830160,50,184.0377 +/- 0.1455
scenario_label=prefix80,DRCT,avg_total_bits,532.375506,0.149750,533.066290,50,532.3755 +/- 0.1497
scenario_label=prefix80,EAQ_CBB,avg_total_bits,241.922702,0.202896,243.310030,50,241.9227 +/- 0.2029
scenario_label=prefix80,EMDT,avg_total_bits,172.348084,0.145836,173.173850,50,172.3481 +/- 0.1458
scenario_label=prefix80,HT_EEAC,avg_total_bits,699.668880,4.105881,722.828390,50,699.6689 +/- 4.1059
scenario_label=prefix80,LAPCT,avg_total_bits,323.145998,0.013133,323.184615,50,323.1460 +/- 0.0131
scenario_label=prefix80,NLHQT(n=2),avg_total_bits,107.954660,0.028703,108.082740,50,107.9547 +/- 0.0287
scenario_label=prefix80,SGCT,avg_total_bits,71.322500,0.000000,71.322500,50,71.3225 +/- 0.0000
scenario_label=prefix80,DQTA(k_max=3),system_efficiency,0.367705,0.000458,0.370316,50,0.3677 +/- 0.0005
scenario_label=prefix80,DRCT,system_efficiency,0.397943,0.000370,0.400245,50,0.3979 +/- 0.0004
scenario_label=prefix80,EAQ_CBB,system_efficiency,0.546056,0.000468,0.548483,50,0.5461 +/- 0.0005
scenario_label=prefix80,EMDT,system_efficiency,0.502477,0.001586,0.512640,50,0.5025 +/- 0.0016
scenario_label=prefix80,HT_EEAC,system_efficiency,0.062004,0.000415,0.064616,50,0.0620 +/- 0.0004
scenario_label=prefix80,LAPCT,system_efficiency,0.498974,0.000003,0.498977,50,0.4990 +/- 0.0000
scenario_label=prefix80,NLHQT(n=2),system_efficiency,0.378144,0.000146,0.379051,50,0.3781 +/- 0.0001
scenario_label=prefix80,SGCT,system_efficiency,0.951203,0.000000,0.951203,50,0.9512 +/- 0.0000
scenario_label=prefix80,DQTA(k_max=3),throughput_tags_per_sec,677.333101,0.883912,681.921239,50,677.3331 +/- 0.8839
scenario_label=prefix80,DRCT,throughput_tags_per_sec,458.674439,0.418133,461.272310,50,458.6744 +/- 0.4181
scenario_label=prefix80,EAQ_CBB,throughput_tags_per_sec,349.525843,0.301781,351.089563,50,349.5258 +/- 0.3018
scenario_label=prefix80,EMDT,throughput_tags_per_sec,730.879409,1.631774,742.399695,50,730.8794 +/- 1.6318
scenario_label=prefix80,HT_EEAC,throughput_tags_per_sec,126.466515,0.791153,131.453624,50,126.4665 +/- 0.7912
scenario_label=prefix80,LAPCT,throughput_tags_per_sec,324.260552,0.002408,324.278958,50,324.2606 +/- 0.0024
scenario_label=prefix80,NLHQT(n=2),throughput_tags_per_sec,1089.286702,0.488036,1092.210993,50,1089.2867 +/- 0.4880
