scenario_point,algorithm_name,metric,mean,ci95,p95,n,mean_ci95
"scenario_label=dispersed,ber=0.0",EMDT,total_protocol_time_ms,13664.368150,29.916711,13849.639500,50,13664.3682 +/- 29.9167
"scenario_label=dispersed,ber=0.0",LAPCT,total_protocol_time_ms,30360.798950,52.819705,30656.794688,50,30360.7990 +/- 52.8197
"scenario_label=dispersed,ber=0.0",NLHQT(n=2),total_protocol_time_ms,9179.021875,5.015241,9206.764812,50,9179.0219 +/- 5.0152
"scenario_label=dispersed,ber=0.0",SGCT,total_protocol_time_ms,6693.214650,132.338065,7280.470000,50,6693.2146 +/- 132.3381
"scenario_label=dispersed,ber=0.0001",DQTA(k_max=3),avg_total_bits,694.938338,25.597883,877.658885,50,694.9383 +/- 25.5979
"scenario_label=dispersed,ber=0.0001",DRCT,avg_total_bits,801.414834,28.542784,943.882780,50,801.4148 +/- 28.5428
"scenario_label=dispersed,ber=0.0001",EMDT,avg_total_bits,173.163044,0.183089,174.237990,50,173.1630 +/- 0.1831
"scenario_label=dispersed,ber=0.0001",LAPCT,avg_total_bits,491.364750,8.287323,536.763515,50,491.3648 +/- 8.2873
"scenario_label=dispersed,ber=0.0001",NLHQT(n=2),avg_total_bits,137.937168,0.656765,139.997460,50,137.9372 +/- 0.6568
"scenario_label=dispersed,ber=0.0001",SGCT,avg_total_bits,139.807486,3.220208,161.192235,50,139.8075 +/- 3.2202
"scenario_label=dispersed,ber=0.0001",DQTA(k_max=3),system_efficiency,0.358733,0.008143,0.410445,50,0.3587 +/- 0.0081
"scenario_label=dispersed,ber=0.0001",DRCT,system_efficiency,0.138658,0.010127,0.206518,50,0.1387 +/- 0.0101
"scenario_label=dispersed,ber=0.0001",EMDT,system_efficiency,0.500274,0.001813,0.510770,50,0.5003 +/- 0.0018
"scenario_label=dispersed,ber=0.0001",LAPCT,system_efficiency,0.498974,0.000003,0.498977,50,0.4990 +/- 0.0000
"scenario_label=dispersed,ber=0.0001",NLHQT(n=2),system_efficiency,0.378319,0.000122,0.378831,50,0.3783 +/- 0.0001
"scenario_label=dispersed,ber=0.0001",SGCT,system_efficiency,0.829789,0.017761,0.905729,50,0.8298 +/- 0.0178
"scenario_label=dispersed,ber=0.0001",DQTA(k_max=3),throughput_tags_per_sec,418.697049,17.996076,532.663481,50,418.6970 +/- 17.9961
"scenario_label=dispersed,ber=0.0001",DRCT,throughput_tags_per_sec,171.273192,11.940637,249.927088,50,171.2732 +/- 11.9406
"scenario_label=dispersed,ber=0.0001",EMDT,throughput_tags_per_sec,726.664705,1.699620,736.700093,50,726.6647 +/- 1.6996
"scenario_label=dispersed,ber=0.0001",LAPCT,throughput_tags_per_sec,329.305191,0.649086,334.081822,50,329.3052 +/- 0.6491
"scenario_label=dispersed,ber=0.0001",NLHQT(n=2),throughput_tags_per_sec,1089.568931,0.421377,1091.878311,50,1089.5689 +/- 0.4214
"scenario_label=dispersed,ber=0.0001",SGCT,throughput_tags_per_sec,1256.949336,40.730882,1461.494066,50,1256.9493 +/- 40.7309
"scenario_label=dispersed,ber=0.0001",DQTA(k_max=3),total_bits,6949383.380000,255978.831873,8776588.850000,50,6949383.3800 +/- 255978.8319
"scenario_label=dispersed,ber=0.0001",DRCT,total_bits,8014148.340000,285427.839753,9438827.800000,50,8014148.3400 +/- 285427.8398
"scenario_label=dispersed,ber=0.0001",EMDT,total_bits,1731630.440000,1830.889649,1742379.900000,50,1731630.4400 +/- 1830.8896
"scenario_label=dispersed,ber=0.0001",LAPCT,total_bits,4913647.500000,82873.228015,5367635.150000,50,4913647.5000 +/- 82873.2280
