TOTAL_TAGS,BINARY_LENGTH,scenario_label,id_distribution,scenario_point,enable_refined_energy_model,enable_resource_monitoring,ber,experiment_name,point_seed,algorithm_seed,total_protocol_time_us,total_reader_bits,total_tag_bits,total_steps,total_listening_energy_uj,total_transmission_energy_uj,total_energy_uj,identified_tags_count,success_slots,idle_slots,collision_slots,progressive_probe_count,signature_grouping_trigger_count,local_short_id_trigger_count,signature_groups_pruned,sparse_signature_groups,signature_marker_bits,signature_marker_tag_bits,signature_non_idle_marker_count,signature_collision_groups,signature_singleton_groups,low_d_fallback_count,suffix_signature_trigger_count,hash_short_id_round_count,hash_short_id_split_count,hash_short_id_collision_groups,hash_short_id_singleton_groups,max_signature_d,epc_verification_count,verify_fail_count,avg_tag_responses,small_cluster_guard_count,throughput_tags_per_sec,algorithm_name,run_id,peak_stack_depth,peak_unidentified_tags_count,drct_query_count,drct_r0_collision_count,drct_r1_collision_count,drct_r1_sedepth_increment_count,check_answer_alias_count,prefix_length,cluster_count,cluster_prefix_length,total_slots,system_efficiency,avg_tag_bits,avg_reader_bits,total_bits,avg_total_bits,avg_query_efficiency,total_protocol_time_ms,total_reader_tx_energy_uj,total_tag_tx_energy_uj,energy_per_tag_uj,drct_random_check_count,drct_unresolved_stack_empty_count,channel_use_ratio
10000,96,prefix80,prefixed,"scenario_label=prefix80,ber=1e-05",True,True,0.000010,formal_sgct_ber_robustness,3946352347,2101157976,14751873.750000,991442.000000,848223.000000,31444,7354637.354750,2406.995500,7357044.350250,10000,10000,8598,8564,,,,,,,,,,,,,,,,,,,,5.064100,,677.879988,DQTA(k_max=3),40,29.000000,,,,,,,80.000000,,,27162,0.368161,84.822300,99.144200,1839665.000000,183.966500,1.167679,14751.873750,,,,,,
10000,96,prefix80,prefixed,"scenario_label=prefix80,ber=0.0001",True,True,0.000100,formal_sgct_ber_robustness,828706230,1628055787,14815467.500000,996188.000000,848012.000000,31521,7392287.211875,2416.382000,7394703.593875,10000,10000,8615,8604,,,,,,,,,,,,,,,,,,,,5.065400,,674.970263,DQTA(k_max=3),40,28.000000,,,,,,,80.000000,,,27219,0.367390,84.801200,99.618800,1844200.000000,184.420000,1.162250,14815.467500,,,,,,
10000,96,prefix80,prefixed,"scenario_label=prefix80,ber=0.001",True,True,0.001000,formal_sgct_ber_robustness,2919958017,3580822137,14899472.500000,1001801.000000,848230.000000,31723,7450507.042625,2427.717000,7452934.759625,10000,10000,8749,8653,,,,,,,,,,,,,,,,,,,,5.067300,,671.164701,DQTA(k_max=3),40,27.000000,,,,,,,80.000000,,,27402,0.364937,84.823000,100.180100,1850031.000000,185.003100,1.155669,14899.472500,,,,,,
10000,96,clustered,clustered,"scenario_label=clustered,ber=0.0",True,True,0.000000,formal_sgct_ber_robustness,3292575035,661229976,16175283.750000,907956.000000,4943958.000000,35012,8094275.841625,4287.891000,8098563.732625,10000,10000,11021,9327,,,,,,,,,,,,,,,,,,,,5.667200,,618.227176,DQTA(k_max=3),40,26.000000,,,,,,,,8.000000,64.000000,30348,0.329511,494.395800,90.795600,5851914.000000,585.191400,1.072156,16175.283750,,,,,,
10000,96,clustered,clustered,"scenario_label=clustered,ber=1e-05",True,True,0.000010,formal_sgct_ber_robustness,2536184210,1903274570,15925571.250000,890964.000000,5388768.000000,34690,7949966.370875,4476.312000,7954442.682875,10000,10000,10955,9157,,,,,,,,,,,,,,,,,,,,5.903600,,627.920961,DQTA(k_max=3),40,26.000000,,,,,,,,8.000000,64.000000,30112,0.332094,538.876800,89.096400,6279732.000000,627.973200,1.092061,15925.571250,,,,,,
10000,96,clustered,clustered,"scenario_label=clustered,ber=0.0001",True,True,0.000100,formal_sgct_ber_robustness,1803931415,1832101504,16128212.500000,905114.000000,4709669.000000,34967,8080373.599500,4165.062500,8084538.662000,10000,10000,11049,9290,,,,,,,,,,,,,,,,,,,,5.543900,,620.031513,DQTA(k_max=3),40,26.000000,,,,,,,,8.000000,64.000000,30339,0.329609,470.966900,90.511400,5614783.000000,561.478300,1.076426,16128.212500,,,,,,
10000,96,clustered,clustered,"scenario_label=clustered,ber=0.001",True,True,0.001000,formal_sgct_ber_robustness,2976408331,4150488174,16387731.250000,924903.000000,5171474.000000,35090,8223945.276750,4435.543000,8228380.819750,10000,10000,10995,9460,,,,,,,,,,,,,,,,,,,,5.811800,,610.212594,DQTA(k_max=3),40,25.000000,,,,,,,,8.000000,64.000000,30455,0.328353,517.147400,92.490300,6096377.000000,609.637700,1.057082,16387.731250,,,,,,
10000,96,random,random,"scenario_label=random,ber=0.0",True,True,0.000000,formal_sgct_ber_robustness,3761379512,1677524279,16381718.750000,337847.000000,9103925.000000,34864,8211657.077500,5227.656500,8216884.734000,10000,10000,10936,9285,,,,,,,,,,,,,,,,,,,,5.164700,,610.436558,DQTA(k_max=3),41,28.000000,,,,,,,,,,30221,0.330896,910.392500,33.784700,9441772.000000,944.177200,1.077006,16381.718750,,,,,,
10000,96,random,random,"scenario_label=random,ber=1e-05",True,True,0.000010,formal_sgct_ber_robustness,300469068,756461770,16317946.250000,336091.000000,9100917.000000,34813,8168127.959500,5222.640500,8173350.600000,10000,10000,10993,9217,,,,,,,,,,,,,,,,,,,,5.163900,,612.822217,DQTA(k_max=3),41,28.000000,,,,,,,,,,30210,0.331016,910.091700,33.609100,9437008.000000,943.700800,1.084952,16317.946250,,,,,,
10000,96,random,random,"scenario_label=random,ber=0.0001",True,True,0.000100,formal_sgct_ber_robustness,3170571470,187306114,16523081.250000,348884.000000,9116662.000000,34818,8279562.053875,5256.099000,8284818.152875,10000,10000,10783,9385,,,,,,,,,,,,,,,,,,,,5.181400,,605.213994,DQTA(k_max=3),41,29.000000,,,,,,,,,,30168,0.331477,911.666200,34.888400,9465546.000000,946.554600,1.065530,16523.081250,,,,,,
