TOTAL_TAGS,BINARY_LENGTH,id_distribution,ber,enable_refined_energy_model,enable_resource_monitoring,experiment_name,point_seed,algorithm_seed,total_protocol_time_us,total_reader_bits,total_tag_bits,total_steps,total_listening_energy_uj,total_transmission_energy_uj,total_energy_uj,identified_tags_count,success_slots,idle_slots,collision_slots,progressive_probe_count,signature_grouping_trigger_count,local_short_id_trigger_count,signature_groups_pruned,sparse_signature_groups,signature_marker_bits,signature_marker_tag_bits,signature_non_idle_marker_count,signature_collision_groups,signature_singleton_groups,low_d_fallback_count,suffix_signature_trigger_count,hash_short_id_round_count,hash_short_id_split_count,hash_short_id_collision_groups,hash_short_id_singleton_groups,max_signature_d,epc_verification_count,verify_fail_count,avg_tag_responses,small_cluster_guard_count,throughput_tags_per_sec,algorithm_name,run_id,peak_stack_depth,ovg_trigger_count,hbmt_ovg_trigger_count,fallback_invocation_count,prefix_stagnation_trigger_count,prefix_stag_score_trigger_count,repeated_pattern_trigger_count,ovg_rehash_count,ovg_width_up_count,ovg_width_down_count,ovg_no_singleton_count,ovg_success_count,post_ovg_singleton_count,ovg_fallback_avoid_count,inspect_collision_count,fcw_cache_created_count,fcw_cache_hit_count,fcw_cache_hit_ratio,fcw_fast_path_count,fcw_width_up_count,fcw_width_down_count,adaptive_cbit_r4_count,multibit_fallback_count,mode_lock1_count,mode_lock2_count,mode_cbit_count,mode_pivot_count,mode_ovg_count,mode_fallback_count,fallback_invocation_ratio,min_tag_responses,max_tag_responses,peak_unidentified_tags_count,drct_query_count,drct_r0_collision_count,drct_r1_collision_count,drct_r1_sedepth_increment_count,check_answer_alias_count,drct_random_check_count,drct_unresolved_stack_empty_count,total_slots,system_efficiency,avg_tag_bits,avg_reader_bits,total_bits,avg_total_bits,avg_query_efficiency,total_protocol_time_ms,signature_grouping_trigger_count.1,sparse_signature_groups.1,signature_groups_pruned.1,signature_marker_tag_bits.1,signature_collision_groups.1,signature_singleton_groups.1,max_signature_d.1,total_reader_tx_energy_uj,total_tag_tx_energy_uj,energy_per_tag_uj,channel_use_ratio
5000,96,sequential,0.000000,True,True,formal_distribution_robustness,2062312987,1439510363,9358746.250000,673940.000000,284888.000000,13564,2341112.575500,1490.324000,2342602.899500,5000,5000,3,5707,,,,,,,,,,,,,,,,,,,,4.996800,,534.259597,DQTA(k_max=3),2,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10710,0.466853,56.977600,134.788000,958828.000000,191.765600,0.876117,9358.746250,,,,,,,,,,,
5000,96,dispersed,0.000000,True,True,formal_distribution_robustness,2711283668,1390043301,12120970.000000,832941.000000,2765764.000000,17004,3044008.674250,3048.764000,3047057.438250,5000,5000,752,7501,,,,,,,,,,,,,,,,,,,,10.603800,,412.508240,DQTA(k_max=3),2,13.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13253,0.377273,553.152800,166.588200,3598705.000000,719.741000,0.666578,12120.970000,,,,,,,,,,,
5000,96,random,0.000000,True,True,formal_distribution_robustness,422175063,3493603315,7989215.000000,158596.000000,4257972.000000,16775,1997142.415125,2446.178000,1999588.593125,5000,5000,5074,4467,,,,,,,,,,,,,,,,,,,,4.803000,,625.843716,DQTA(k_max=3),3,24.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14541,0.343855,851.594400,31.719200,4416568.000000,883.313600,1.119319,7989.215000,,,,,,,,,,,
5000,96,prefixed,0.000000,True,True,formal_distribution_robustness,851243702,1400441172,7816248.750000,372238.000000,1951998.000000,16722,1961834.996875,1720.475000,1963555.471875,5000,5000,5033,4459,,,,,,,,,,,,,,,,,,,,4.800800,,639.693050,DQTA(k_max=3),3,24.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14492,0.345018,390.399600,74.447600,2324236.000000,464.847200,1.121328,7816.248750,,,,,,,,,,,
5000,96,sequential,0.000000,True,True,formal_distribution_robustness,2853207391,3875101181,9358746.250000,673940.000000,284888.000000,13564,2341112.575500,1490.324000,2342602.899500,5000,5000,3,5707,,,,,,,,,,,,,,,,,,,,4.996800,,534.259597,DQTA(k_max=3),3,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10710,0.466853,56.977600,134.788000,958828.000000,191.765600,0.876117,9358.746250,,,,,,,,,,,
5000,96,dispersed,0.000000,True,True,formal_distribution_robustness,1060205302,2055861206,11186558.750000,766352.000000,1289193.000000,16116,2808184.905750,2177.300500,2810362.206250,5000,5000,815,6867,,,,,,,,,,,,,,,,,,,,6.607200,,446.964979,DQTA(k_max=3),3,23.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12682,0.394260,257.838600,153.270400,2055545.000000,411.109000,0.728120,11186.558750,,,,,,,,,,,
5000,96,random,0.000000,True,True,formal_distribution_robustness,227964392,3003011360,8005098.750000,158926.000000,4267652.000000,16874,2008480.754500,2451.678000,2010932.432500,5000,5000,5155,4479,,,,,,,,,,,,,,,,,,,,4.814600,,624.601914,DQTA(k_max=3),4,24.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14634,0.341670,853.530400,31.785200,4426578.000000,885.315600,1.116321,8005.098750,,,,,,,,,,,
5000,96,prefixed,0.000000,True,True,formal_distribution_robustness,556190795,2747348585,7842761.250000,374156.000000,1953268.000000,16728,1964447.199375,1724.946000,1966172.145375,5000,5000,5009,4479,,,,,,,,,,,,,,,,,,,,4.805400,,637.530564,DQTA(k_max=3),4,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14488,0.345113,390.653600,74.831200,2327424.000000,465.484800,1.116321,7842.761250,,,,,,,,,,,
5000,96,sequential,0.000000,True,True,formal_distribution_robustness,3880519409,460263534,9358746.250000,673940.000000,284888.000000,13564,2341112.575500,1490.324000,2342602.899500,5000,5000,3,5707,,,,,,,,,,,,,,,,,,,,4.996800,,534.259597,DQTA(k_max=3),4,25.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10710,0.466853,56.977600,134.788000,958828.000000,191.765600,0.876117,9358.746250,,,,,,,,,,,
5000,96,dispersed,0.000000,True,True,formal_distribution_robustness,3025823809,4145636555,15146687.500000,960323.000000,2733819.000000,19678,3792857.284125,3287.555500,3796144.839625,5000,5000,0,9785,,,,,,,,,,,,,,,,,,,,8.562600,,330.105180,DQTA(k_max=3),4,18.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14785,0.338181,546.763800,192.064600,3694142.000000,738.828400,0.510986,15146.687500,,,,,,,,,,,
